2990_1,2990_2,2990_3,2990_4,2991_1,2991_10,2991_11,2991_2,2991_3,2991_4,2991_5,2991_6,2991_7,2991_8,2991_9,3149_3,3149_4,3149_5,3149_6,3149_7,3149_8,3150_1,3150_2,3150_3,3150_4,3150_5,3150_6,stop_id,stop_name,stop_latitude,stop_longitude,settlement,county
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8540B1560001,St Louis School,54.24545101,-6.971501527,Monaghan,County_Monaghan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854000008,Waters Filling Station,54.11554063,-6.733279044,Castleblayney,County_Monaghan
08:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300B109221,O'Fiaich College,53.98657385,-6.392770433,Dundalk,County_Louth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300B109221,O'Fiaich College,53.98657385,-6.392770433,Dundalk,County_Louth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854000008,Waters Filling Station,54.11554063,-6.733279044,Castleblayney,County_Monaghan
0,15:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8540B1560001,St Louis School,54.24545101,-6.971501527,Monaghan,County_Monaghan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300B109221,O'Fiaich College,53.98657385,-6.392770433,Dundalk,County_Louth
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854000008,Waters Filling Station,54.11554063,-6.733279044,Castleblayney,County_Monaghan
0,0,18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8540B1560001,St Louis School,54.24545101,-6.971501527,Monaghan,County_Monaghan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300B109221,O'Fiaich College,53.98657385,-6.392770433,Dundalk,County_Louth
