OBJECTID_1,SETTLEMENT,SETTL_NAME,NAME_EN
18,34004,Ballybay,County_Monaghan
26,34001,Carrickmacross,County_Monaghan
30,34003,Castleblayney,County_Monaghan
34,34005,Clones,County_Monaghan
58,34008,Monaghan,County_Monaghan
287,34012,Scotstown,County_Monaghan
298,34017,Oram,County_Monaghan
299,34010,Emyvale,County_Monaghan
300,34014,Cabragh,County_Monaghan
301,34009,Bellanode,County_Monaghan
302,34015,Doohamlat,County_Monaghan
303,34016,Clontibret,County_Monaghan
304,34013,Smithborough,County_Monaghan
325,34007,Rockcorry,County_Monaghan
326,34006,Newbliss,County_Monaghan
328,34011,Glasslough,County_Monaghan
338,34002,Inniskeen,County_Monaghan
851,34018,Scotshouse,County_Monaghan
852,34019,Annayalla,County_Monaghan
14,6001,Athy,County_Laois
25,35006,Carlow,County_Laois
59,8009,Mountmellick,County_Laois
66,8012,Portlaoise (formerly Maryborough),County_Laois
433,8022,The Swan,County_Laois
434,8014,Newtown,County_Laois
437,8001,Abbeyleix,County_Laois
457,8016,Ballyroan,County_Laois
458,8006,Ballylinan,County_Laois
460,8002,Ballinakill,County_Laois
461,8013,Borris-In-Ossory,County_Laois
467,8008,Clonaslee,County_Laois
468,8003,Castletown,County_Laois
477,8007,Stradbally,County_Laois
478,8005,Rathdowney,County_Laois
479,8010,Mountrath,County_Laois
491,8018,Ballycolla,County_Laois
499,8020,Killenard,County_Laois
503,8019,Errill,County_Laois
506,8021,Ballybrittas,County_Laois
509,8017,Emo,County_Laois
510,8004,Durrow,County_Laois
634,35016,Portarlington,County_Laois
13,35010,Athlone,County_Roscommon
17,35011,Ballinasloe,County_Roscommon
23,30004,Boyle,County_Roscommon
242,30023,Ballintober,County_Roscommon
244,30026,Knockcroghery,County_Roscommon
245,30020,Ballyforan,County_Roscommon
246,30021,Ballinameen,County_Roscommon
247,30025,Athleague,County_Roscommon
248,30016,Strokestown,County_Roscommon
249,30015,Roscommon,County_Roscommon
250,30010,Loughglinn,County_Roscommon
263,30024,Termonbarry,County_Roscommon
268,30011,Cloontuskert,County_Roscommon
269,30018,Bellanagare,County_Roscommon
270,30003,Ballyfarnan,County_Roscommon
271,30006,Ballaghaderreen,County_Roscommon
272,30007,Ballinlough,County_Roscommon
286,30022,Tulsk,County_Roscommon
310,30017,Keadew,County_Roscommon
315,30009,Frenchpark,County_Roscommon
316,30012,Elphin,County_Roscommon
317,30019,Cloonfad,County_Roscommon
318,30008,Castlerea,County_Roscommon
427,28004,Drumsna,County_Roscommon
625,35017,Roosky,County_Roscommon
644,35015,Lanesborough-Ballyleague,County_Roscommon
807,35024,Carrick-On-Shannon,County_Roscommon
865,30027,Cootehall,County_Roscommon
4,33001,Bundoran,County_Leitrim
427,28004,Drumsna,County_Leitrim
435,28008,Manorhamilton,County_Leitrim
436,28003,Drumshanbo,County_Leitrim
439,28012,Tullaghan,County_Leitrim
440,28013,Leitrim,County_Leitrim
446,28005,Kinlough,County_Leitrim
451,28006,Dromahair,County_Leitrim
452,28009,Carrigallen,County_Leitrim
453,28001,Ballinamore,County_Leitrim
456,28010,Mohill,County_Leitrim
462,28014,Drumod,County_Leitrim
463,28007,Drumkeeran,County_Leitrim
625,35017,Roosky,County_Leitrim
807,35024,Carrick-On-Shannon,County_Leitrim
848,28015,Keshcarrigan,County_Leitrim
574,35001,Dublin city and suburbs,County_Dublin
15,4001,Balbriggan,County_Dublin
24,35007,Bray,County_Dublin
50,6010,Leixlip,County_Dublin
126,15008,Enniskerry,County_Dublin
312,11014,Stamullen,County_Dublin
343,11002,Ashbourne,County_Dublin
345,11012,Gormanston,County_Dublin
563,4017,Naul,County_Dublin
569,4014,Swords,County_Dublin
570,4013,Skerries,County_Dublin
580,4010,Portrane,County_Dublin
581,4009,Portmarnock,County_Dublin
582,4002,Ballyboghil,County_Dublin
605,4003,Donabate,County_Dublin
626,4015,Kinsealy-Drinan,County_Dublin
664,5004,Glencullen,County_Dublin
665,3006,Saggart,County_Dublin
666,3005,Rathcoole,County_Dublin
667,3004,Newcastle,County_Dublin
691,4016,Oldtown,County_Dublin
699,6006,Ballyoulster,County_Dublin
716,4011,Rivermeade,County_Dublin
725,4005,Garristown,County_Dublin
737,4018,Balrothery,County_Dublin
738,4012,Rush,County_Dublin
779,4008,Malahide,County_Dublin
780,4007,Lusk,County_Dublin
804,3001,Brittas,County_Dublin
805,4019,Kinsaley,County_Dublin
827,4006,Loughshinny,County_Dublin
8,16014,Kilkee,County_Clare
42,16004,Ennis,County_Clare
48,16012,Kilrush,County_Clare
67,16006,Shannon,County_Clare
85,35003,Limerick city and suburbs,County_Clare
90,16031,Kilfenora,County_Clare
94,16011,Kildysart,County_Clare
118,16015,Kilmihill,County_Clare
252,22004,Ballina,County_Clare
448,21014,Castleconnell,County_Clare
545,16036,Crusheen,County_Clare
559,16038,Bunratty,County_Clare
585,16035,Inagh,County_Clare
624,16019,Clonlara,County_Clare
628,16007,Sixmilebridge,County_Clare
629,16025,Scarriff-Tuamgraney,County_Clare
630,16028,Quin,County_Clare
653,16023,Feakle,County_Clare
654,16008,Ennistimon,County_Clare
673,16013,Doonbeg,County_Clare
697,16027,Kilkishen,County_Clare
743,16026,Whitegate,County_Clare
752,16033,Kilmurry,County_Clare
754,16037,Lissycasey,County_Clare
773,16020,Cratloe,County_Clare
774,16003,Corrofin,County_Clare
775,16001,Ballyvaughan,County_Clare
788,16016,Quilty,County_Clare
789,16005,Newmarket-On-Fergus,County_Clare
790,16034,Mountshannon,County_Clare
791,16010,Miltown Malbay,County_Clare
792,16002,Lisdoonvarna,County_Clare
793,16032,Liscannor,County_Clare
794,16009,Lehinch,County_Clare
796,16030,Ardskeagh,County_Clare
797,16017,Ardnacrusha or Castlebank,County_Clare
810,35018,O'Briensbridge-Montpelier,County_Clare
816,16018,Ballycannan,County_Clare
822,16024,Killaloe,County_Clare
845,16029,Tulla,County_Clare
863,16039,Kilmaley,County_Clare
21,32013,Belturbet,County_Cavan
31,32009,Cavan,County_Cavan
37,32015,Cootehill,County_Cavan
88,32011,Ballinagh,County_Cavan
89,32010,Arva,County_Cavan
578,32002,Kingscourt,County_Cavan
601,32016,Killeshandra,County_Cavan
627,32014,Butlersbridge,County_Cavan
652,32006,Swanlinbar,County_Cavan
680,32018,Blacklion,County_Cavan
681,32007,Ballyjamesduff,County_Cavan
685,32008,Virginia,County_Cavan
704,32017,Kilnaleck,County_Cavan
735,32001,Bailieborough,County_Cavan
736,32004,Shercock,County_Cavan
739,32019,Lough Gowna,County_Cavan
808,32005,Ballyconnell,County_Cavan
838,32003,Mullagh,County_Cavan
839,32012,Ballyhaise,County_Cavan
6,6015,Naas,County_Kildare
14,6001,Athy,County_Kildare
39,6019,Droichead Nua (Newbridge),County_Kildare
50,6010,Leixlip,County_Kildare
83,6007,Celbridge,County_Kildare
159,35026,Blessington,County_Kildare
459,6044,Narraghmore,County_Kildare
464,6040,Johnstown,County_Kildare
465,6031,Grangemore,County_Kildare
466,6008,Clane,County_Kildare
469,6028,Milltown,County_Kildare
470,6011,Maynooth,County_Kildare
472,6022,Kill,County_Kildare
473,6021,Kildare,County_Kildare
474,6020,Kilcullen,County_Kildare
475,6009,Kilcock,County_Kildare
492,6036,Johnstownbridge,County_Kildare
500,6012,Straffan,County_Kildare
