service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,descr_service_type,service_type
1,1,1,1,1,1,0,0,20240401,20250331,Mon-Fri,1
2,1,1,1,1,1,0,0,20240401,20241121,Mon-Fri,1
3,0,0,0,0,1,0,0,20240405,20241115,Fri,6
4,1,0,0,0,0,0,0,20240401,20241118,Mon,2
5,0,1,1,1,0,0,0,20240402,20241121,Tue-Thur,14
6,1,1,1,1,1,0,0,20240401,20241004,Mon-Fri,1
7,0,0,0,0,0,1,0,20240406,20241005,Sat,7
8,0,1,0,0,0,0,0,20240402,20241001,Tue,3
9,0,0,0,0,0,1,0,20240406,20250329,Sat,7
10,1,1,1,1,1,0,0,20240401,20240830,Mon-Fri,1
11,0,0,0,0,1,0,0,20240405,20250328,Fri,6
12,1,1,1,1,0,0,0,20240401,20250331,Mon-Thur,9
13,0,0,0,0,0,0,1,20240331,20250330,Sun,8
14,1,0,0,0,0,0,0,20240401,20250331,Mon,2
15,0,0,0,1,0,0,0,20240404,20250327,Thur,5
16,0,1,0,0,0,0,0,20240402,20250325,Tue,3
17,0,0,1,0,0,0,0,20240403,20250326,Wed,4
18,1,1,1,1,1,1,1,20240331,20250331,Mon-Sun,11
19,1,1,1,1,1,0,0,20240401,20241213,Mon-Fri,1
20,0,0,0,0,0,1,0,20240406,20241207,Sat,7
21,1,0,0,0,0,0,1,20240331,20241209,Mon+Sun,15
22,0,0,0,0,0,0,0,20240621,20240621,No-Service,0
23,1,1,1,1,1,1,0,20240401,20250331,Mon-Sat,10
24,1,1,1,1,0,0,0,20240401,20250327,Mon-Thur,9
25,0,0,0,0,1,0,0,20240405,20241004,Fri,6
26,1,1,1,1,0,0,0,20240401,20241010,Mon-Thur,9
27,0,0,0,0,0,1,1,20240331,20250330,Sat-Sun,16
28,1,1,1,1,1,0,0,20240401,20241101,Mon-Fri,1
29,0,0,0,0,0,1,1,20240331,20241103,Sat-Sun,16
30,0,0,0,0,1,0,0,20240405,20240621,Fri,6
31,1,0,0,0,0,0,1,20240331,20240617,Mon+Sun,15
32,0,0,0,0,0,0,0,20240628,20240830,No-Service,0
33,0,0,0,0,0,0,0,20240623,20240902,No-Service,0
34,1,1,1,1,1,0,0,20240401,20250102,Mon-Fri,1
35,0,0,0,0,0,0,0,20240908,20241006,No-Service,0
36,0,0,0,0,0,0,0,20240906,20241004,No-Service,0
37,0,0,0,0,0,0,0,20240904,20241009,No-Service,0
38,0,0,0,0,0,0,0,20240904,20241009,No-Service,0
39,0,0,0,0,0,0,0,20241010,20250207,No-Service,0
40,0,0,0,0,0,0,0,20241010,20250206,No-Service,0
41,0,0,0,0,0,0,0,20241013,20250202,No-Service,0
42,0,0,0,0,0,0,0,20241011,20250207,No-Service,0
43,1,0,0,0,0,0,1,20240331,20250331,Mon+Sun,15
44,1,1,1,1,1,0,0,20240401,20250110,Mon-Fri,1
45,1,1,1,1,1,0,0,20240401,20240902,Mon-Fri,1
46,1,1,1,1,1,0,0,20240401,20240812,Mon-Fri,1
47,0,0,1,0,0,0,0,20240403,20240807,Wed,4
48,0,0,0,0,1,0,0,20240405,20240809,Fri,6
49,1,0,0,0,0,0,0,20240401,20240812,Mon,2
50,0,1,0,0,0,0,0,20240402,20240806,Tue,3
51,0,0,0,1,0,0,0,20240404,20240808,Thur,5
52,1,0,0,0,0,0,0,20240805,20250331,Mon,2
53,0,0,0,0,1,0,0,20240809,20250328,Fri,6
54,0,0,0,0,0,0,1,20240811,20250330,Sun,8
55,1,0,0,0,0,0,1,20240805,20250331,Mon+Sun,15
56,0,0,0,1,0,0,0,20240808,20250327,Thur,5
57,1,1,1,1,1,0,0,20240822,20250331,Mon-Fri,1
58,1,1,1,1,1,0,0,20240401,20241018,Mon-Fri,1
59,1,1,1,1,1,0,0,20240401,20240411,Mon-Fri,1
60,0,0,0,0,0,1,0,20240406,20240406,Sat,7
61,0,0,0,0,0,0,1,20240331,20240407,Sun,8
62,1,1,1,1,1,1,1,20240710,20250331,Mon-Sun,11
63,1,0,0,0,1,0,0,20240401,20250331,Mon+Fri,17
64,1,1,1,1,1,1,1,20240331,20240709,Mon-Sun,11
65,1,1,1,1,1,0,0,20240401,20240709,Mon-Fri,1
66,0,0,0,0,1,0,0,20240405,20240705,Fri,6
67,0,0,0,0,1,0,0,20240405,20241011,Fri,6
68,0,0,0,0,0,0,1,20240331,20241013,Sun,8
69,0,0,0,0,1,1,1,20240331,20250330,Fri-Sun,20
70,0,1,0,1,0,0,0,20240402,20250327,Tue+Thur,21
71,1,1,1,1,1,1,0,20240401,20240629,Mon-Sat,10
72,0,0,0,0,0,0,0,20240401,20250317,No-Service,0
73,1,1,1,1,1,1,1,20240331,20240821,Mon-Sun,11
74,1,1,1,1,1,0,0,20240401,20240821,Mon-Fri,1
75,1,0,0,0,0,0,0,20240401,20240729,Mon,2
76,0,0,0,0,1,0,0,20240405,20240802,Fri,6
77,0,0,0,0,0,0,1,20240331,20240804,Sun,8
78,1,0,0,0,0,0,1,20240331,20240804,Mon+Sun,15
79,0,0,0,1,0,0,0,20240404,20240801,Thur,5
80,0,0,0,0,0,0,1,20240331,20240331,Sun,8
81,1,1,1,1,1,1,1,20240331,20241215,Mon-Sun,11
82,1,1,1,1,1,1,0,20240401,20241214,Mon-Sat,10
83,1,0,0,0,0,0,0,20240408,20240603,Mon,2
84,0,1,0,0,0,0,0,20240402,20240604,Tue,3
85,0,0,1,0,0,0,0,20240403,20240605,Wed,4
86,0,0,0,1,0,0,0,20240404,20240530,Thur,5
87,0,0,0,0,1,0,0,20240405,20240531,Fri,6
88,0,0,0,0,0,1,0,20240406,20240601,Sat,7
89,0,0,0,0,0,0,1,20240331,20240602,Sun,8
92,0,0,0,0,0,1,0,20240406,20241214,Sat,7
93,0,0,0,0,0,0,1,20240331,20241215,Sun,8
