route_id,corridor_id
3689_56134,1
3689_56129,1
3702_42634,1
3637_42626,1
3689_56199,1
3689_56189,1
3031_37707,1
3689_56128,3
3689_56129,3
3702_42634,3
3689_56221,3
3174_36931,3
3689_56137,5
3172_37710,5
3689_56235,5
3405_42685,5
3581_42677,5
3581_42677,5
3581_42677,5
3172_37710,5
3405_42685,5
3689_56197,5
3689_56194,6
3689_56202,6
3689_56242,6
3502_51295,6
3689_56134,6
3724_42643,6
3724_42643,6
3724_46279,6
3689_56194,6
3689_56194,6
3689_56351,7
3061_40672,7
3705_48663,7
3689_56197,7
3404_42616,7
3405_42685,7
3732_42680,7
3070_40571,7
3070_40576,7
3070_40574,7
3405_42691,7
3732_42686,7
3048_36875,7
3048_36876,7
3732_54288,7
3502_36463,7
3502_36465,7
3581_47818,7
3610_42688,7
3610_54638,7
3689_56135,7
3689_56274,7
3689_56219,8
3689_56221,8
3689_56261,8
3689_56238,8
3689_56232,8
3689_56348,8
3689_56232,8
3741_42654,8
3404_42656,8
3689_56196,8
3689_56155,11
3689_56155,11
3689_56155,11
3689_56126,11
3710_56716,11
3710_56713,11
3710_56707,11
3659_55134,11
3659_55144,11
3571_53693,11
3700_49587,11
3689_56126,12
3710_56707,12
3710_56716,12
3048_36878,12
3700_42764,12
3700_49587,12
3700_42765,12
3689_56154,12
3581_50579,12
3731_57534,12
3610_42607,14
3502_51295,14
3610_42688,14
3731_40664,14
3731_57534,14
3689_56142,14
3689_56127,14
3581_42677,14
3581_42677,14
3581_42677,14
3581_53765,14
3496_51237,14
3581_47818,14
3610_54638,14
3731_40664,15
3502_51295,15
3689_56142,15
3732_42680,15
3732_42686,15
3048_36878,15
3732_48541,15
3048_36873,15
3732_57535,15
3689_56240,16
3689_56137,16
3689_56351,16
3061_40672,16
3705_48663,16
3070_40575,16
3070_40573,16
3070_40574,16
3405_42691,16
3732_42680,16
3405_42685,16
3689_56197,16
3689_56130,22
3689_56130,22
3689_56136,22
3689_56138,22
3705_26881,22
3551_53599,22
3689_56272,22
3124_37715,22
3689_56265,22
3160_36546,22
3160_45984,22
3689_56167,25
3704_42717,25
3704_42719,25
3704_55330,25
3689_56139,25
3689_56361,31
3689_56150,31
3689_56169,31
3689_56352,31
3551_53599,31
3689_56138,31
3689_56132,31
3689_56355,31
3689_56308,31
3702_42632,31
3702_42662,31
2991_37732,31
3704_42717,31
3689_56148,31
3689_56318,31
3689_56161,33
3689_56168,33
3616_54282,33
3689_56139,33
3704_55330,33
3704_56712,33
3689_56303,34
3689_56138,34
3689_56132,34
3689_56355,34
3551_53599,34
3689_56310,34
3378_48416,34
