stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,settlement,county
701000001,,Water Street,,54.99606869,-7.317328852,,,,,Water Street,County_Londonderry
701000002,,Patrick Street,,54.99997992,-7.322670291,,,,,Patrick Street,County_Londonderry
7010B158131,158131,Ulsterbus Depot,,54.99662876,-7.317866335,,,,,Ulsterbus Depot,County_Londonderry
7010B158241,158241,Magee Campus,,55.002956,-7.322545,,,,,Magee Campus,County_Londonderry
70200B156091,156091,Glengall Street,,54.59508806,-5.93719485,,,,,Glengall Street,County_Antrim
7020IR0037,,Lisburn,,54.513863,-6.045132,,,,,Lisburn,County_Antrim
7020IR2162,,Belfast,,54.595573,-5.917156,,,,,Belfast,County_Antrim
7040B107131,107131,Cullaville,,54.06204481,-6.643525169,,,,,Cullaville,County_Armagh
7040B139481,139481,Newry,,54.16825303,-6.339097563,,,,,Newry,County_Down
7040B139491,139491,Buttercrane SC,,54.17287148,-6.340995722,,,,,Buttercrane SC,County_Down
7040B139501,139501,Newry,,54.172227,-6.340441,,,,,Newry,County_Down
7040B139511,139511,Newry (Opp Quay Shopping Centre),,54.16869222,-6.339018889,,,,,Newry (Opp Quay Shopping Centre),County_Down
7040B139761,139761,Killeen Bridge,,54.13100864,-6.346081612,,,,,Killeen Bridge,County_Armagh
7040B139771,139771,Killeen Bridge,,54.13102309,-6.346478898,,,,,Killeen Bridge,County_Armagh
7040B139781,139781,Meigh Cross,,54.115863,-6.357129,,,,,Meigh Cross,County_Armagh
7040B139791,139791,Meigh Cross (Service Station),,54.11589222,-6.357278611,,,,,Meigh Cross (Service Station),County_Armagh
7040B150611,150611,Monaghan Street,,54.176486,-6.34535,,,,,Monaghan Street,County_Down
7040B156051,156051,Newry,,54.176002,-6.339467,,,,,Newry,County_Down
7040B156061,156061,Newry Bus Station,,54.17499863,-6.340145,,,,,Newry Bus Station,County_Down
7040IR0042,,Newry,,54.188659,-6.362413,,,,,Newry,County_Armagh
7040IR0045,,Portadown,,54.424993,-6.445312,,,,,Portadown,County_Armagh
7040IR0090,,Lurgan,,54.467011,-6.338528,,,,,Lurgan,County_Armagh
7050B108081,108081,Enniskillen,,54.34369443,-7.640078887,,,,,Enniskillen,County_Fermanagh
7050B140871,140871,Derrylin,,54.191672,-7.565929,,,,,Derrylin,County_Fermanagh
7050B1409001,140901,Bellanaleck,,54.29500472,-7.638015107,,,,,Bellanaleck,County_Fermanagh
7050B141541,141541,Belleek,,54.4761706,-8.094501987,,,,,Belleek,County_Fermanagh
7050B1415501,141551,Bellanaleck,,54.29505808,-7.637830304,,,,,Bellanaleck,County_Fermanagh
7050B141561,141561,Derrylin,,54.191678,-7.565736,,,,,Derrylin,County_Fermanagh
7050B630091,630091,Letterbreen,,54.30928706,-7.732685628,,,,,Letterbreen,County_Fermanagh
7050B630101,630101,Letterbreen,,54.30949256,-7.732161834,,,,,Letterbreen,County_Fermanagh
7050B6310001,631001,Belcoo,,54.297258,-7.869896,,,,,Belcoo,County_Fermanagh
7050B631071,631071,Loughview Drive,,54.29737389,-7.870114478,,,,,Loughview Drive,County_Fermanagh
7060000001,,Omagh,,54.61070183,-7.323313814,,,,,Omagh,County_Tyrone
7060000002,,ASDA,,54.831483,-7.469682,,,,,ASDA,County_Tyrone
706000002,,Beltony Road,,54.6130744,-7.325008323,,,,,Beltony Road,County_Tyrone
706000003,,Beltony Road,,54.61303026,-7.325148383,,,,,Beltony Road,County_Tyrone
7060B152481,152481,Sion Mills,,54.78431172,-7.471636798,,,,,Sion Mills,County_Tyrone
7060B156031,156031,Ballygawley,,54.456349,-7.033901,,,,,Ballygawley,County_Tyrone
7060B157111,157111,Newtownstewart,,54.72189052,-7.37298186,,,,,Newtownstewart,County_Tyrone
7060B158031,158031,Ulsterbus Depot,,54.601343,-7.30175,,,,,Ulsterbus Depot,County_Tyrone
7060B1581001,158101,Newtownstewart,,54.72177388,-7.373014705,,,,,Newtownstewart,County_Tyrone
7060B158121,158121,Bradley Way,,54.82650688,-7.470090025,,,,,Bradley Way,County_Tyrone
7060B1581401,158141,Sion Mills,,54.78577936,-7.472348362,,,,,Sion Mills,County_Tyrone
7060B158181,158181,Canal Street,,54.82774606,-7.463786397,,,,,Canal Street,County_Tyrone
821000003,11344,Tullow South,,52.80098596,-6.73963267,,,,,Tullow,County_Carlow
821000004,11345,Tullow South,,52.80089186,-6.739234971,,,,,Tullow,County_Carlow
821000005,,Tyndall College,,52.8191407,-6.944948274,,,,,Tyndall College,County_Carlow
821000006,,Tyndall College,,52.81921497,-6.945213529,,,,,Tyndall College,County_Carlow
821000007,,Leighlinbridge,,52.73669291,-6.975816384,,,,,Leighlinbridge,County_Carlow
821000008,,Leighlinbridge,,52.73670343,-6.975993837,,,,,Leighlinbridge,County_Carlow
821000014,,Carlow Institute of Further Education,,52.83260657,-6.932066602,,,,,Carlow,County_Carlow
821000015,,Carlow Institute of Further Education,,52.83258953,-6.932170906,,,,,Carlow,County_Carlow
821000017,,SETU Carlow Campus,,52.82643757,-6.935719842,,,,,Carlow,County_Carlow
821000018,,St Patrick's Park,,52.804379,-6.744251,,,,,Tullow,County_Carlow
821000019,,Carlow Train Station,,52.84067574,-6.922873376,,,,,Carlow,County_Carlow
8210000199,,Carlow College,,52.83860271,-6.927199445,,,,,Carlow,County_Carlow
821000020,,Carlow Train Station,,52.84091194,-6.923149562,,,,,Carlow,County_Carlow
821000022,,Kernanstown,,52.82173408,-6.877850846,,,,,Kernanstown,County_Carlow
8210B111621,111621,St. Patrick's Avenue,,52.83712389,-6.914670278,,,,,Carlow,County_Carlow
8210B111891,111891,Sleaty Street,,52.84414778,-6.9397625,,,,,Carlow,County_Laois
8210B1340201,134021,Hacketstown,,52.86522153,-6.55839857,,,,,Hacketstown,County_Carlow
8210B1340202,134022,Hacketstown,,52.86533978,-6.558513471,,,,,Hacketstown,County_Carlow
8210B136061,136061,IT Carlow,,52.82998118,-6.935974554,,,,,Carlow,County_Carlow
8210B1360701,136071,Leighlinbridge Cross,,52.73553145,-6.987097575,,,,,Leighlinbridge Cross,County_Carlow
8210B136211,136211,Rathvilly,,52.8805507,-6.695561919,,,,,Rathvilly,County_Carlow
8210B136231,136231,Hacketstown,,52.86537499,-6.558452893,,,,,Hacketstown,County_Carlow
8210B153991,153991,Tullow North,,52.80481999,-6.732506391,,,,,Tullow,County_Carlow
8210B154001,154001,Tullow North,,52.80465809,-6.732496268,,,,,Tullow,County_Carlow
8210B202101,202101,Wexford Road Business Park,,52.820615,-6.897133333,,,,,Wexford Road Business Park,County_Carlow
8210B335561,335561,Barrck Street,,52.83538687,-6.925423458,,,,,Carlow,County_Carlow
8210B3355701,335571,Hanover Bus Park,,52.833738,-6.926948,,,,,Carlow,County_Carlow
8210B3355702,335572,Carlow Coach Park,,52.83372901,-6.926963347,,,,,Carlow,County_Carlow
8210B339081,339081,Seskin Road,,52.738872,-6.98568732,,,,,Seskin Road,County_Carlow
8210B3394301,339431,Royal Oak Road,,52.704245,-6.984179,,,,,Royal Oak Road,County_Carlow
8210B3511401,351141,Rathvilly,,52.88061916,-6.695247854,,,,,Rathvilly,County_Carlow
8210B3511402,351142,Rathvilly,,52.880638,-6.695327,,,,,Rathvilly,County_Carlow
8210B3511801,351181,Kildavin,,52.683916,-6.685386,,,,,Kildavin,County_Carlow
8210B351711,351711,Ballon,,52.74018795,-6.770399763,,,,,Ballon,County_Carlow
8210B351721,351721,Ballon,,52.74008727,-6.770224881,,,,,Ballon,County_Carlow
8210B3555602,355562,The Square Tullow,,52.80293551,-6.736165147,,,,,Tullow,County_Carlow
8210B3555603,355563,Tullow,,52.80293567,-6.736179974,,,,,Tullow,County_Carlow
